date,summoner_name,rank,lp,season_points,wins,losses
23/07/09,Mash,263,0,0,0,3
23/07/09,100X Mist,263,0,0,0,1
23/07/09,TG Links,263,0,0,0,2
23/07/09,C9 Winsome,263,0,0,0,3
23/07/09,GG Iconic,263,0,0,0,2
23/07/09,Min,263,0,0,0,1
23/07/09,3P MikeYeung,263,0,0,0,3
23/07/09,GTC SiddyWiddy,263,0,0,0,2
23/07/08,EG jojopyun,1,885,50,126,76
23/07/08,GG Olleh,2,800,40,114,69
23/07/08,EG Kaori,3,780,30,119,82
23/07/08,EG Srtty,4,740,30,109,70
23/07/08,C9 Zven,5,725,30,105,65
23/07/08,BOG RJS,6,650,20,130,130
23/07/08,TSM Mia,7,635,20,100,73
23/07/08,TL Armao,8,630,20,98,70
23/07/08,FLY Kumo,9,625,20,115,107
23/07/08,CLG Dhokla,10,605,20,91,61
23/07/08,EG Tomio,11,590,10,105,92
23/07/08,DIG River,12,565,10,73,34
23/07/08,GG Tony Top,13,535,10,99,91
23/07/08,TL Yeon,14,490,10,72,46
23/07/08,ISG ADD,15,480,10,62,28
23/07/08,FLY Tomo,16,475,10,72,49
23/07/08,SN Ariendel,17,455,10,82,73
23/07/08,IMT Lost,18,450,10,63,36
23/07/08,IMT Kenvi,19,440,10,65,42
23/07/08,FLY Josedeodo,20,440,10,78,68
23/07/08,TL Hans sama,21,435,10,64,41
23/07/08,CLG Breezy,22,435,10,80,73
23/07/08,Lourlo,23,415,10,93,103
23/07/08,TSM Takeover,24,405,10,79,80
23/07/08,IMT Arrow,25,395,10,63,47
23/07/08,AZE Dimitry,26,390,5,62,48
23/07/08,EG Smoothie,27,390,5,74,70
23/07/08,TL CoreJJ,28,385,5,59,41
23/07/08,FLY Johnsun,29,380,5,55,34
23/07/08,GG Ablazeolive,30,380,5,66,56
23/07/08,100 Busio,31,375,5,62,52
23/07/08,TL Eyla,32,355,5,55,39
23/07/08,EGP Yukino,33,355,5,61,51
23/07/08,FLY Diamond,34,340,5,72,76
23/07/08,100 Abbedagge,35,335,5,50,33
23/07/08,ISG Jelly,36,335,5,51,35
23/07/08,C9 Destiny,37,335,5,58,50
